hotel name,reviews
ajanta hotel ,"Get a Rough Guide to India or Read the Trip Advisor We started our journey at 4.00am on friday morning...at arrival to New Dehli, plane was delayed an hour....driver was waiting...no problems....reached the hotel at approximately 2.10am - we all were shipped into a small room to check in and also payments for our stay was requested immediately...after sending a number of e-mails for explainations on the rates a price was agreed however we were overcharged - okay payments were made without arguments - we finally went to sleep at 3.30am....my 14year old son was exhausted - next morning at 9.45am - phone rang - office manager wanted to know how we were.....at this point we felt we had to get up and go down. ..10.30am we went downstairs - we hadnt even reached the final step when the office manager greeted us and took us straight into her office to discuss our interniary and what our plans were...at this point, we were still jet-lagged, my son wasnt feeling very well - he also was hungry as well - none of this was taken into consideration...we were bombarded with questions - we had to tell her we need to think about what we want to do - if we asked any questions she would reply and then say I told you so or I have already told you - which confused us more - the service in the breakfast area was very poor - no one explained what breakfast was available....we didnt like Ajanta at all and wouldnt recommend it to anyone - we stayed at a reputable Hotel in Mumbai and the same brand hotel was only x2 doors way, if I had know, I would have rather spent my hard earned money there than Ajanta...we went to Ajanta because of the Lonely Planet reviews however, we felt, because, perhaps we were Indians, we were been exploited in the hotel as well as out...the manager told us not to trust anyone outside yet we felt we couldnt trust anyone in or out...rather take out chances out then in the hotel..we stayed at a number of other different hotels in India and Ajanta was the worst....it was all money, money money, I am in the process of writing a complaint letter to Ajanta Hotel ..I am not expecting a reply...they have our money....they dont need to reply.... "
ajanta hotel ,"This hotel is NOT safe for single females! At the beginning of October my sister, a single female traveller about to arrive in India, called this hotel on two occasions from the UK and requested a room booking for the night of her arrival in Delhi. She spoke to two separate members of staff, both of whom assured her that a room had been reserved for her. She then followed this up with an email to the hotel. She requested an airport pick up, gave her flight details and was assured also that this had been arranged.On arrival at the airport in the early hours of the morning, she found no-one from the hotel waiting to pick her up. On telephoning your hotel to ask about the transfer, she was told that her room had been given away to a party of guests who had arrived and requested a five day stay. The person she spoke to seemed to think it was perfectly reasonable not to honour her reservation merely because a more lucrative booking had presented itself.My sister was thus stranded, alone, in Delhi, in the middle of the night. She was taken to an office of touts by a taxi driver, who forced her to pay a very high price for a five-hour taxi transfer to Rishikesh.I wrote to the hotel and asked for an explanation but no reply has been received. I therefore do not suggest that you stay at this hotel, as it doesn't seem to value customer service or reliability at all. "
ajanta hotel ,"excellent value for money well run hotel, nice and clean rooms, excellent restaurant, reasonable prices, good location close to New Delhi railway station, its really worth the money.We will chose it again and also recommend it to our friends. "
ajanta hotel ,"the hotel does not honour its commitment We reserved luxory rooms 4 weeks before arrival, but they didnt have such rooms for us. Other hotels nearby give same kind of rooms and service for half of the price. "
ajanta hotel ,Good hotel-great location I travelled to Goa and Agra this year and must say India Rocks. We landed in New Delhi and stayed at Hotel Ajanta. What a great location! Right in the heart of the city. We walked to Connaught Palace-the downtown of Delhi on several occassions. The Hotel on its own was so self sufficient. Room service was good. I personally enjoyed the chicken dish at the Hotel's Restaraunt. The driver of the hotel cab that we took to Agra was friendly and knew a lot about Agra. The Taj mahal was awesome. 
ajanta hotel ,"terrible hotel high price room dirty and old, water stops, very high price.not recommand "
ajanta hotel ,"Typical Indian exuberance outside helpful staff peace and quiet inside: best of both worlds I stayed in the Ajanta Hotel in Delhi for several weeks in 2006/2007. It was an unusually enjoyable experience. The hotel is close to New Delhi station, where the special ticket office for tourists is located, and to Main Bazaar, a huge shopping district where everything under the sun can be had. The Ajanta Hotel is in a street which is teeming with typical Indian life, something that genuine travellers usually want to experience, while at the same time offering an oasis of quiet, order and cleanliness, which Westerners also often want in order to recover from the usual Indian exuberance and noise. Staying there therefore gives you the best of both worlds: Indian life and divine chaos on your doorstep, and safety and quiet inside.You could not have the same experience if you stayed in one of the super-expensive luxury hotels, which are located in areas and enclaves which are &quot;sanitised&quot; to such an extent, that no ordinary Indian is allowed in (&quot;no Indian life is here&quot;), and where you might as well be in a similar hotel in New York or London. Apart from the general cleanliness, which is a feature worth stressing in all hotels which do not charge the earth, I found the staff extraordinarily friendly and helpful. This is true of all their reception staff, who soon know you by name, and of the people providing various services, like the cyber café (where the guy in charge went to great lengths to be helpful.Wonderful staff is there to give you advice on anything under the sun: how best to travel to various parts of Delhi, how to avoid being overcharged by taxi drivers, where best to go to for buying specific items, how to cope with the language, and how to solve any other problems you might have. I was impressed by one woman in particular: Take one look at her and you know you can trust her - unlike the many crooks and spivs with whom the tourist is soon surrounded in other parts of Delhi.This is much more than I had the right to expect in any but the most expensive and exclusive hotels. But this one is NOT expensive and NOT exclusive. I noticed that it is used by backpackers, by business people and ordinary tourists alike, young and old, from all nations under the sun, and they all seem to be happy together.The charges are very reasonable by Western standards and for the comfort that is on offer.There is also a restaurant in which splendid cuisine is on provided and which is frequented not only by hotel guests but also attracts people from other parts of Delhi.I am very grateful for having been allowed to stay there and was lucky to have, by sheer accident, discovered this hotel in the first place. I hope these wonderful people, staff and leaders alike, will continue to prosper.Klaus BungBlackburn, UKw: http://tinyurl.com/prtd5ce: klaus@rtc-money.co.uk "
ajanta hotel ,Feeling very safe as a women travelling alone This hotel makes you feel very safe in a big city as Delhi is. The pickingup from the airport is reliable and very fast and comfortable. Rooms are big and clean. The best you can get for little money! 
ajanta hotel ,"amazingly friendly and helpful staff a greta value hotel we stayed at this hotel 5 times during our 6 week holiday to india, it was a perfect stop off when travelling accross the country and was such good value for money that it made sense. You can be guaranteed a clean and quiet room for the night and a superb dinner in the restaurant (although give breakfast a miss). Mrs Ravi in particular was a great help when organising trips to rajistan and she also helped when I had a an ear infection. "
ajanta hotel ,"Terrible hotel One of the worst hotels i ever stayed in, don't even know where to begin..First they couldn't find my reservation so they put me in a room on ground floorfrom where you can hear people on the street screaming while you are taking a showercause window can't be closed.After when i asked about some restaurants and shopping places, people from hotel saidnothing of that is working but they know very fine place to eat.. Probably some comission deal.I can go on and on... "
ajanta hotel ,"2ND worst hotel I stayed in I went to India for 2 weeks in Sept. Traveled to Mumbai, Ahmadabad, Jaipur, Jaipur, Agra and Delhi. HOTEL AJANTA WAS THE 2ND WORST HOTEL I STAYED IN! (the winner was Hotel Sheila in Agra)The room charges are excessive for what you actually get. The hotel charge for every little thing i.e. internet access, breakfast etc (almost all hotels i stayed in offer this and more complimentary).The pre-paid taxi is overpriced, the tours they offer is overpriced and they insist on only taking you on the tourist trail i.e. where they want you to go (and this always includes the tourist handicraft shops).The photo's on their website is nothing like what you get. The rooms are dull, most have no windows, some spit stains on the wall.I travel to India twice a year and have been doing so for around 4 years now, my experience is the good hotels won't take payment until you check out; whereas the poor ones always as for full payment in advance (this hotel asks for payment in advance).My advice would be to skip this hotel and pick one of the 20 hotels on the same road. I believe as Hotel Ajanta are in all the guide books their standards have slipped considerably and feel they no longer have to go that extra mile for their guests. "
ajanta hotel ,"Not worth the room rates charged Stayed here for 2 nights. It was not a very comfortable stay in comparison to the room rates we paid.1) Found the room a bit small -- the double bed occupied the entire space.2) The water pipes were leaking in the bathroom3) The room key did not work one afternoon. So we were stuck outside our room for almost an hour while the carpenter tried to get the door open.4) While checking out, the credit card machine was not working. My husband ran around for 30 minutes in search of an ATM and we paid by cash. So I would suggest others to have enough cash handy during checkout.Good points:1) The drivers associated with the hotel are polite and friendly.2) Near the New Delhi railway station "
ajanta hotel ,"Good comfortable choice for Paharganj We stayed in a family room (2 adults and 2 kids) and a junior suite (2 adults). A friend of ours checked out all mid-range hotels in the area (in advance) and picked this one for its cleanliness and space. The family room was reasonable. It was a good size with 2 double beds (one of them circular which the kids loved), although without any windows it was a bit musty. The bathroom was OK - about what you would expect from a budget place (clean but old). The junior suite was done nicely with effort made and a better bathroom. The best part about it was it opened out onto a terrace which was great for enjoying a drink in the evening. Our main complaint was that there is a switch for the electricity outside the bedroom and someone came and switch off both rooms in the middle of the night (i.e., so we woke up with no fan / AC and hot!). Overall, Ajanta Hotel is a good choice for this area of Delhi. Just beware that despite its proximity to the railway station it can still take quite a while if you get stuck in traffic! "
ajanta hotel ,"An oasis in Delhi! For those travelling in a mid-range or budget scheme, the Ajanta is a wonderful suitable option combining reasonable prices with good services regarding to food, connectivity, security and travel assistance - look for Mr Manik at the travel desk! - "
ajanta hotel ,"Very nice hotel and helpful staf I stayed 6 nights at Ajanta and had a very nice stay. The staff was very helpful and even helped me with Indian simcard to my mobile. The pictures on websites are better than in real, but ex deluxroom are very nice.Arrangement made by the travel agency City capital was excellent.Next time, if there is any, I definitive will stay at Ajanta.Jörgen KjellgrenGothenburg, Sweden "
ajanta hotel ,"Comfortable first stop in India airport pickup a welcomed start We stayed 10 nights. We booked the accommodation through an online agent with a special offer for airport pickup. Our flight arrived in New Delhi at 3am, and sure enough, the driver was waiting for us with a clearly marked sign. It was a pleasant drive in and made for a good start. Upon arrival and check in we were offered a cup of tea - nice touch. Our room was a semi deluxe, with a large bathroom. Staff were friendly. Guest needs to initiate requests. The hotel is located within walking distance of the New Delhi train station and there are some eating places along the street as well as a hotel restaurant - we suggest the vegetarian meals. "
ajanta hotel ,"My Trusted Hotel since 2000 was back for the 4rth time had a blast in delhi and great 2 days at your place,many diferent people new rooftop nice suite rooms and thanks for giving our upgrade ,my wife and I appreciated every thing the hotel and staff did for us,will be back next year same time .Special thanks to the reception staff for helping us book our flights and tickets onwards. "
ajanta hotel ,"Dishonest staff and misleading photos on website!! Pretty appalling. Tours salesman pretty nasty and especially so when he found out we booked tours with someone else (better at half the price - try the Tourist Info centre in Connaught Place area - it should be marked on any tourist map - ask for Mustafa). BEWARE - this has a &quot;sister&quot; hotel, The Hotel Delhi City Centre . We originally booked there after looking at the photos on the internet, but the photos were of the Ajanta. The Hotel City Delhi City Centre was a real dump, nothing like the photos and when I challenged the staff they lied to my face several times. I had a look round and had to threaten to leave to get them to move us to the Ajanta. In summary, it's a cheap hotel and we eventually got what we paid for after pushing pretty hard (I'm 6'2&quot; and don't take any crap, so I don't know what they would be like with less assertive people), i.e. fairly clean but quite shabby rooms, noisy aircon etc. My advice is DON'T buy tours there, DON'T touch the mini bar (especially the water) and don't expect too much after seeing the website photos of the rooms!! "
ajanta hotel ,"Not welcoming and first impressions last...... We booked at Hotel Ajanta prior to arrival in India, it had mixed reviews but so did most of the Hotels in Delhi. A plus point for us was the free airport pick-up (which was fine). We got to the Hotel at about 5am after many hours travelling. The staff were unfriendly and after filling out the forms (which we felt they could have done later) they wanted payment up front. When we produced Rupees they wanted to know where we got them from, how much was the rate and if we had the receipt. We pretended we couldn't find the receipt and were a bit shocked at how in our face they had been about it. The room was semi-clean, and it had toilet paper etc, but no hot water. We also had no window in the room, except into the corridor.The worst part of the Hotel was the tour manager at the office downstairs; very pushy and in your face every time we walked in and out of the Hotel. We nearly took one of their tours (naivety showing through) until we met up with a friend (of a friend) in Delhi who told us that the Hotel had been in the papers recently for scamming tourists with the tours.We checked out of the Hotel early in the end, and would not recommend it to anyone. There are much better places to stay, where you don't feel like your are being questioned and under surveillance. "
ajanta hotel ,Try another one.. Ok the price and pick up service attracts you at first but.....The room was too noisy I thought I was sleeping on the street and you will not find the rooms like the photos on website..Restaurant was terrible. They say not available for everything in the menu except rice and some Indian stuff..Breakfast is so called open buffet but there was nothing at all and you can not order anything else if you need..And do not ever think about arranging a trip with them they literally conned me. When I understood it was too late and they did not even reply my emails.I paid 12000 rupees for a trip which costs maximum 8000 rupees.And they demand for cash. The cashier guy told me that &quot;this is too small money give it in cash&quot; I think India became rich..So I would not recommend to anyone.. 
ajanta hotel ,"Decent Hotel I was a little bit suspicious of Hotel Ajanta, based on some of the reviews on here. However, the hotel was perfectly fine to use as a base to explore Delhi. It was generally clean, the rooms were a decent size and the shower was warm, albeit a little temperamental. The complimentary hotel pickup was very good. The first room we were given was a bit cell like as it was small, had no window and the bathroom looked a bit grubby but after asking, the staff were happy to move us to the slightly bigger room next door where there was a window and a better bathroom. The hotel was a bit noisy but what can you expect from the location? Staff were freindly to us, and the lobby etc... was clean. The restaurant was fine too. Some people on this have complained about a &quot;pushy&quot; travel agent at the hotel trying to force you into overpriced tours. When we checked into the hotel we were spoken to by a friendly man in the office about our travel plans, but because we knew what we were doing, he didn't try and sell us anything (though the hotel might want to note that some people on this website have found this approach a bit pushy and unwelcoming.) Overall I enjoyed my stay at the Ajanta and would recommend it as a budget place to stay in Delhi. "
ajanta hotel ,Not a guest friendly hotel Please carry cash at the time of check out (credit card is not accepted in this hotel) else you will have to walk for five minutes to take cash from ATM and pay your bill. 
ajanta hotel ,"Ajanta Hotel was clean and hospitable in an impeccable location. We appreciated our clean, cool room in the hot season, and the friendly, helpful staff. This hotel has a lovely view of the Taj Mahal from the rooftop eating area, and the car and driver we hired to drive to Jaipur and back to Delhi were comfortable and clean. This was an excellent value and we would not hesitate to stay there again. We were a party of three adults traveling together, my husband and me and my sister-in-law. "
ajanta hotel ,"Much improved from the first time I stayed I have stayed at the Hotel Ajanta on 2 occasions, The first was not a good experience however this was maybe because I had not prepared for the differences in lifestyle and other things. I felt pressured to take taxi's everywhere and lost money doing so but I decided to give it another go and returned.This time I found it much easier, the food was very good, the service was excellent and yes the rooms were a bit noisy but its New Delhi!!!I would recommend this hotel as its a really good place to chill out whilst aclimatising to this beautiful country. "
ajanta hotel ,"Ok but I'm sure there are better options for the same price. Our stay at Hotel Ajanta was fine, but the hotel isn't especially nice. The staff were at times a bit rude and also quite pushy to arrange trips/trains/activites for you. The food was ok but the restaurant wasn't a nice place, although one night we ate on the roof and that was better. Our room had everything we needed but wasn't very well kept. The location is quite good, as it is very close to the New Delhi train station. Basically it's fine for a place to sleep and an ok option, but maybe look around for a better option first. "
ajanta hotel ,"Nice rooms noisy location good for a budget hotel We had a really spacious room, but was at the front of the hotel. It had very thin windows, so little sleep was had, as the hotel is located in the 'flea pit'/backpacker area', Pagarhni, of Delhi. The travel agent man within the hotel, is a good saleman and booked us 5 day trip with a driver around Rajasthan. overall a good hotelshort stay, but I wouldn't stay in Delhi too long anyway! "
ajanta hotel ,A good place in the heart of New Delhi A clean and quiet place in heart of New Delhi within walking distance from New Delhi railway station. The bustle outside is not affecting the stay inside the hotel. The rooms are clean and maintained. The restaurant seems to be good though I could not use the same due to my itinerary. The room service is OK but the time taken for service can be improved upon. The hotel offers one free pickup / drop from / to the airport. The hotel is reasonably priced. 
ajanta hotel ,"Nice and safe hotel in Delhi I stayed at Ajanta hotel in several occasions. The staff are friendly and helpful, they help you organize your trips, you get safe taxis, good advice on travel. It has 24 hr room service and hot water. It is a government approved hotel, that means that you are safe in there. The restaurant has good food, you have breakfast buffet, which is very delicious. It is good value for the price. The location is also very convenient, it is very close to New Delhi railway station and to the Paharganj commercial area (you can go by walk) You can take an auto to Connaught place as well and it is quite close. A good and friendly place to stay in Delhi for a good price!! Plenty of foreigners choose this hotel as well. "
ajanta hotel ,"Great experience at an amazing cost Oe has several apprehensions about booking hotels from another city. BUt what I saw on the net is what I experienced on reaching Ajanta Hotel.The ambience and the staff at this hotel - Hotel Ajanta make you feel welcomed and the comfortable stay thereafter is worth mentioning.Highlights would be the cleanliness and the prompt service. After a hard day's work it does make a difference when you enter a good, well kept, clean room. And then when you need something extra, it reaches you promptly. I would be making this review incomplete if I did not mention about their food. Give this place a try. You will come back "
ajanta hotel ,"Excellent Value for Money It is really great value for money hard to explain in words. The staff is very helpful and what to say about the location it is just perfect. I had no problems at all, and being my first trip ever to Delhi i really needed a lot of guidance for what places to see, what to eat etc and staff gave great suggestions and helped me get around the area. "
ajanta hotel ,"Its an excellent hotel with great service location and value for money We really enjoyed our stay, the staff was very helpful and provided great service. It is centrally located so makes it easier to move around the city. The rooms are clean and very good. All in all, i would recommend the hotel. "
ajanta hotel ,Service at great rates! I had the pleasure staying at the Ajanta on a business trip in feb and have to stay the staff is way better than any of the large chains in country. any time I needed something it was there in minutes which is tough in India. a must stay! 
ajanta hotel ,"Bait and Switch I am not sure how this hotel has rated 3 stars. Maybe it is the low prices, but this was not a pleasant stay. When we arrived we were shuffled off into a small room where we were told that they had no rooms. However the hotel in the rear of the building had rooms. We were logged into the books of both hotels, evidently as proof should we complain on [--] where we placed the reservation that they did not honor the booking. I believe these are the same hotels as tehy both use teh same systems and the same credit card machine located in teh Ajanta. The Hotel is in the nastiest part of town and has a club next door that plays very loud music well into the night. The picture of the front of the building is definitely photo shopped. "
ajanta hotel ,"Don't let the photos fool you. It's a budget hotel and that's exactly what it is. It's a good budget hotel but their webiste seems to fluff things a little too much. So LOWER your expectations as in way way low if you want to stay there. When I was checking in there was a big group of rather unfriendly guys, it felt like some local government office rather than a guesthouse. And then another Indian guy kept asking me to follow him out of the hotel, I didn't know what's going on, some other guy has my passport.... it was a mess. They didn't scam me or anything, but having just just arrived to Delhi, this sort of disorientation at the place you are staying isn't ideal. I made two reservations, one for when I arrive and another at the end of the trip. I cancelled the second reservation.That was my experience and I stand by my word. "
ajanta hotel ,"Good Location Rooms we Went with my own tour group had 10 of us occupying 5 rooms ,the staff knew what everybody wanted and we all had a great 2 nights here at ajanta ,this is right next to everything and a great location we booked this through sanfred travels and was a good decision.They serve food 24 hours a day which was great but yes we overate ,they have awesome balcony rooms overlooking the city and easily the best looking hotel in the area.They gave us an upgrade on our return from udaipur which was a welcome surprise.Kudos to ajanta hotels "
ajanta hotel ,"warm drinks we stayed in July 2009 in this hotel. We occupied two rooms, one single and one double.The single had no window ! Room price 40 $ !The double had a fridge which did not work. After complaints some housekeeping boyscoming three times to look after but without success !So we ordered cola which came warm, same with mineral water. Not to forget the beer,They told us to go outside for a cold beer, but this also never came.A special service was a small bucket with ice cubes for 30 Rs !!The hotel has a nice roof top restaurant but what a sense without cold drinks ?After one night we checked out and went to the neighbouring Grand hotel which wasreally great. "
ajanta hotel ,"Mrs. Ravi Kher Again This is the best hotel in the Pahargonj Area mainly in the Arakashan Road. The hotel arranged free transfer for us from the airport at midnight which was an excellent service.I visited Delhi in July. The weather was very hot with scorching heat. My son got high fever after arriving at Delhi and we had to stay in the Hotel for three days for his nursing. But we found the hotel very comfortable to do that. We stayed in 3 different rooms in the Hotel in a span of five days. 404, 215 and 319. Except 215 the other rooms were excellent. I should mention the name of Mr. Gautom whose cooperation we cannot forget.Lastly we would like to mention the the name of Mrs. Kher who arranged an excellent tour for us to visit Ajmer, Pushkar, Jaipur and Agra. Before the tour me and my wife asked her to give us comfortable vehicle and hotels, since my son was sick. She showed us the photos of the hotels in her computer. But we were a little bit afraid. She promised that all the arrangements would be as committed. During the tour we found nothing to complain to her. Rather my Father in Law joined us from Jaipur and Mrs. Kher arranged an additional room in Jaipur and Agra immediately. Again she arranged a good vehicle for us to tour Delhi in eight hours. I would highly recommend Mrs. Kher if anyone wants to tour from Delhi to other cities. She knows the customer need and keeps her commitment.I would also recommend Hotel Ajanta if anyone wants to stay in the Pahargonj area. "
ajanta hotel ,"MRS KHER I had a very good stay in the Ajanta Hotel. I could recommend this Hotel to everybody. The staff is very nice and helpful, they are always smiling. :-)I also like to recommend Mrs. Kher (Travel agency managerin in the hotel, [--]) and to thank herShe organized my trip very well and I felt alsways very, very safe. I (women, 32) travelled alone. It was very nice and very safe. Thanks Mrs. Kher.I hope to come back soon :-)See you and enjoy itGreets from SwitzerlandSeraina "
ajanta hotel ,"Highly recommend I was in Delhi last year for a quick business trip and wanted to find something centrally located and economical. I had never stayed at Hotel Ajanta before but was pleasantly surprised with the customer service and the room. The staff was very friendly and the room was very well kept, the linens were clean and crisp. Overall a great experience for the price. I would highly recommend it. "
ajanta hotel ,"budget hotel I stayed at this hotel a couple of times with my husband as we had to transit in Delhi. The first time we saw the hotel, I was really worried. I have never back packed before and the hotel was in a very crowded area and I really did not like it at all. However, as I was with my husband, I did not mind it too much. But do not believe the photos you see on their home page! The rooms were not too bad. They were quite spacious. When our flight was postponed, we stayed an additional night and they upgraded us. However, I thought that the semi-deleuxe room was better than the upgraded room!! Also, I am not so sure about the staff at the front desk. Some of them are nice but the others... I am not so sure! On my last stay I met a lady at the front desk and she seemed quite nice. The rooms could be a bit more clean. We decided not to stay here again when it took us nearly 2 hours to go to the hotel from the airport and at the end of a long travel, we were not too keen to go to some crowded place! But I think it is ok value for money (given that most hotels in Delhi are quite expensive). "
ajanta hotel ,Safe and very Friendly They made arrangements for me to be picked up from the airport &amp; gave a nice meal at 3 am at night and woke me up the next day with the breakfast ready as per my request in the email i had sent them earlier. The hotel staff spent time to answer all my questions and helped me with all my queries. I will definitely be back whenever i am in New Delhi next time. 
